1,abang/kakak laki-laki,dang,n
2,abu,abau,n
3,adik,asuak,n
4,air,biyoa,n
5,akar,balet,n
6,alir (me-),jalua,v
7,amanah,imanat,a
8,anak,anok,n
9,angin,angin,n
10,anjing,kuyuk,n
11,api,opoi,n
12,api,opoi,n
13,apung (me-),(apung/mepung),v
14,asap,asep,n
15,ayah,bak,n
16,ayun,ayun,n
17,baca,baco ,v
18,bahu,bau,n
19,baik,baik,a
20,balik,belek,n
21,banyak,dau ,a
22,baring,baring,v
23,baru,belau,a
24,basah,baso,a
25,batu,butau,n
26,belah (me-),beleak,v
27,benar,benea,a
28,bengkak,bekkok,n
29,benih,biniak,n
30,berat,benek,a
31,beri,belei,v
32,besar,lai,a
33,betis,betis,n
34,bibir,bibia,n
35,bintang,bittang,n
36,buah,buak,n
37,bulan,bulen,n
38,bulu,bulau,n
39,bunga,bangai,n
40,bunga,bungai,n
41,bunuh,bunuk,v
42,buruk,buuk,a
43,candu,caneu,n
44,dada,dado,n
45,daging,daging,n
46,dagu,dagau,n
47,dan,ngen,p
48,danau,daneu,n
49,darah,daleak,n
50,darat,da'et,n
51,datang,teko,v
52,datar,datea,a
53,daun,dawen,n
54,daun sirih,ibeun,n
55,debu,debu ,n
56,dekat,paok,a
57,dengan,ngen,p
58,dingin,sengok,a
59,ekor,ikoa,n
60,engkau,ko,n
61,garam,silai ,n
62,garuk,gaut ,n
63,geraham,ang,n
64,gigi,epen,n
65,gigit,tenget,v
66,gosok,kusuk,v
67,hati,ateng,n
68,hidung,yung,n
69,hidup,idup ,v
70,hijau,ijau,n
71,hitam,meleu,n
72,hujan,ujen,n
73,hujan,ujen,n
74,ibu,mak,n
75,ini,dio,pron
76,istri/suami dari adik,seduwai,n
77,itu,doo,pron
78,jadi,jijei,p
79,jahit,det,v
80,jantung,jattung,n
81,jongkok,cakkung,v
82,kakek,datuk,n
83,kaki,kekea,n
84,kalau,amen,p
85,kalian,udi,pron
86,kambing,kaming,n
87,kepala,ulau,n
88,kepala,ulau,n
89,kepala dusun atau kepala desa,ginde,n
90,kering,keing,a
91,kiri,kideu,n
92,kulit,babok,n
93,kutu,kutau,n
94,lading/pisau/golok bekas,jamai,n
95,lain,leyen,a
96,lebar,libea,a
97,lelaki,semanei,n
98,lidah,lidek ,n
99,lima,lemo,num
100,lurus,luus,a
101,makan,mbuk,v
102,marah,mareak ,a
103,mata,matai,n
104,mati,matei,v
105,merah,mileak,n
106,muntah,muteak,v
107,orang,tun,n
108,panjang,panyang,a
109,pasir,benei,n
110,pendek,pennok,a
111,penuh,noak ,a
112,pernah,biadei,adv
113,perut,tanei,n
114,pikir,peker,n
115,pohon,pun,n
116,pundak,bau,n
117,pusar,posok,n
118,putih,putiak,n
119,rambut,buk ,n
120,rumput,dukut ,n
121,satu,do,num
122,saya,uku ,pron
123,sayap,sayep,n
124,sedang,gidong,adv
125,sempit,seppit,a
126,sering kali,awit ,adv
127,seruling,Sedem,n
128,siapa,siapi,pron
129,sisa nasi yang berserakan,imeak,n
130,suami,aduk,n
131,sungai,biyowalai,n
132,tahu,namen,v
133,tali,tilai,n
134,tanah,pitak,n
135,tangan ,tangen ,n
136,tarik,jujut ,v
137,tebal,keboa,a
138,telinga,tiuk,n
139,telur,tenoa,n
140,terbang,tebai,v
141,tertawa,tawai,v
142,tetek,cut,n
143,tidak,coa,adv
144,tidur,tidua,v
145,tiga,telau,num
146,tikam (me),tikem,v
147,tongkat,tokkot,n
148,tua,tuwai,a
149,tubuh,awok,n
150,tumpul,podoa,a
151,ubun-ubun,bubun,n
152,ular,dung,n
153,urat,belat,n
